"Order","Family","Genus","Binomial","Female2n","Sex.chromosome.system","Source"
"Artiodactyla","Camelidae","Camelus","Camelus bactrianus",74,"XY","Balmus et al. 2007"
"Artiodactyla","Camelidae","Camelus","Camelus dromedarius",74,"XY","Balmus et al. 2007"
"Artiodactyla","Camelidae","Camelus","Camelus ferus",74,"XY","Proskuryakova et al. (Unpublished)"
"Artiodactyla","Camelidae","Lama","Lama glama",74,"XY","Balmus et al. 2007"
"Artiodactyla","Camelidae","Lama","Lama guanicoe",74,"XY","Balmus et al. 2007"
"Artiodactyla","Camelidae","Lama","Lama pacos",74,"XY","Balmus et al. 2007"
"Artiodactyla","Camelidae","Vicugna","Vicugna vicugna",74,"XY","Blackmon 2019"
"Artiodactyla","Cervidae","Alces","Alces alces",68,"XY","Graphodatsky (Unpublished)"
"Artiodactyla","Cervidae","Axis","Axis axis",66,"XY","Blackmon 2019"
"Artiodactyla","Cervidae","Axis","Axis calamianensis",68,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Cervidae","Axis","Axis kuhlii",68,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Cervidae","Blastocerus","Blastocerus dichotomus",66,"XY","Duarte and Giannoni 1995a"
"Artiodactyla","Cervidae","Capreolus","Capreolus capreolus",70,"XY","Blackmon 2019"
"Artiodactyla","Cervidae","Capreolus","Capreolus pygargus",70,"XY","Dementyeva et al. 2010"
"Artiodactyla","Cervidae","Cervus","Cervus albirostris",66,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Cervidae","Cervus","Cervus elaphus",68,"XY","Blackmon 2019"
"Artiodactyla","Cervidae","Cervus","Cervus elaphus",62,"XY","Huang et al. 2006a"
"Artiodactyla","Cervidae","Cervus","Cervus elaphus bactrianus",68,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Cervidae","Cervus","Cervus elaphus sibiricus",68,"XY","Graphodatsky (Unpublished)"
"Artiodactyla","Cervidae","Cervus","Cervus nippon",66,"XY","Huang et al. 2006a"
"Artiodactyla","Cervidae","Cervus","Cervus nippon hortulorum",66,"XY","Graphodatsky (Unpublished)"
"Artiodactyla","Cervidae","Cervus","Cervus nippon mandarinus",66,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Cervidae","Cervus","Cervus timorensis russa",60,"XY","Frohlich et al. 2017"
"Artiodactyla","Cervidae","Cervus","Cervus unicolor",58,"XY","Blackmon 2019"
"Artiodactyla","Cervidae","Cervus","Cervus unicolor malaccensis",56,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Cervidae","Dama","Dama dama",68,"XY","Blackmon 2019"
"Artiodactyla","Cervidae","Dama","Dama mesopotamica",68,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Cervidae","Elaphodus","Elaphodus cephalophus",47,"complex XY","CRES San Diego (Unpublished)"
"Artiodactyla","Cervidae","Elaphurus","Elaphurus davidianus",68,"XY","Blackmon 2019"
"Artiodactyla","Cervidae","Hippocamelus","Hippocamelus bisculus",70,"XY","Spotorno et al. 1987"
"Artiodactyla","Cervidae","Hydropotes","Hydropotes inermis",70,"XY","Blackmon 2019"
"Artiodactyla","Cervidae","Mazama","Mazama americana",42,"complex XY","Aquino et al. 2013"
"Artiodactyla","Cervidae","Mazama","Mazama bororo",34,"XY","Duarte (Unpublished)"
"Artiodactyla","Cervidae","Mazama","Mazama gouazoubira",70,"XY","Proskuryakova and Yang (Unpublished)"
"Artiodactyla","Cervidae","Mazama","Mazama nana",36,"XY","Abril and Duarte 2008"
"Artiodactyla","Cervidae","Mazama","Mazama nemorivaga",68,"complex XY","Fiorillo et al. 2013"
"Artiodactyla","Cervidae","Muntiacus","Muntiacus crinifrons",8,"complex XY","Fu and Yang (Unpublished)"
"Artiodactyla","Cervidae","Muntiacus","Muntiacus feae",13,"complex XY","Huang et al. 2006b"
"Artiodactyla","Cervidae","Muntiacus","Muntiacus gongshanensis",8,"complex XY","Fu and Yang (Unpublished)"
"Artiodactyla","Cervidae","Muntiacus","Muntiacus muntjak",6,"complex XY","Blackmon 2019"
"Artiodactyla","Cervidae","Muntiacus","Muntiacus muntjak vaginalis",6,"complex XY","Burkin et al. 1997"
"Artiodactyla","Cervidae","Muntiacus","Muntiacus reevesi",46,"XY","Yang et al. 1995"
"Artiodactyla","Cervidae","Odocoileus","Odocoileus hemionus",70,"XY","Blackmon 2019"
"Artiodactyla","Cervidae","Odocoileus","Odocoileus virginianus",70,"XY","Duarte (Unpublished)"
"Artiodactyla","Cervidae","Ozotocerus","Ozotocerus bezoarticus",68,"XY","Duarte and Giannoni 1995b"
"Artiodactyla","Cervidae","Pudu","Pudu puda",70,"XY","Spotorno and Fernandez-Donoso 1975"
"Artiodactyla","Cervidae","Rangifer","Rangifer tarandus",70,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Cervidae","Rucervus","Rucervus duvaucelii",56,"XY","Blackmon 2019"
"Artiodactyla","Cervidae","Rucervus","Rucervus eldii",58,"XY","Frohlich et al. 2017"
"Artiodactyla","Delphinidae","Delphinus","Delphinus bairdii",44,"XY","Blackmon 2019"
"Artiodactyla","Delphinidae","Delphinus","Delphinus delphis",44,"XY","Arnason 1974a"
"Artiodactyla","Delphinidae","Globicephala","Globicephala macrorhynchus",44,"XY","Arnason 1974a"
"Artiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus albirostris",44,"XY","Arnason 1980"
"Artiodactyla","Delphinidae","Orcinus","Orcinus orca",44,"XY","Arnason et al. 1980"
"Artiodactyla","Delphinidae","Stenella","Stenella attenuata",44,"XY","Stock 1981"
"Artiodactyla","Delphinidae","Stenella","Stenella clymene",44,"XY","Arnason 1980"
"Artiodactyla","Delphinidae","Stenella","Stenella dubia",44,"XY","Arnason 1974c"
"Artiodactyla","Delphinidae","Tursiops","Tursiops truncatus",44,"XY","Bielec et al. 1997"
"Artiodactyla","Eschrichtiidae","Eschrichtius","Eschrichtius robustus",44,"XY","Arnason 1981a"
"Artiodactyla","Giraffidae","Giraffa","Giraffa camelopardalis tippelskirchi",30,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Giraffidae","Giraffa","Giraffa camelopardis",30,"XY","Huang et al. 2008"
"Artiodactyla","Giraffidae","Okapia","Okapia johnstoni",45,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Hippopotamidae","Choeropsis","Choeropsis liberiensis",36,"XY","Frohlich et al. 2016"
"Artiodactyla","Hippopotamidae","Hippopotamus","Hippopotamus amphibius",36,"XY","Kulemzima et al. 2009"
"Artiodactyla","Kogiidae","Kogia","Kogia breviceps",42,"XY","Arnason and Benirscke 1973"
"Artiodactyla","Lipotidae","Lipotes","Lipotes vexillifer",44,"XY","Minrong et al. 1986"
"Artiodactyla","Monodontidae","Delphinapterus","Delphinapterus leucas",44,"XY","Jarrell and Arnason 1981"
"Artiodactyla","Moschidae","Moschus","Moschus berezovskii",58,"XY","Chi et al. 2005a"
"Artiodactyla","Moschidae","Moschus","Moschus moschiferus",58,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Phocoenidae","Neophocaena","Neophocaena phocaenoides asiaeorientalis",44,"XY","Nie et al. 2012"
"Artiodactyla","Phocoenidae","Phocoena","Phocoena phocoena",44,"XY","Arnason 1980"
"Artiodactyla","Physeteridae","Physeter","Physeter catodon",42,"XY","Blackmon 2019"
"Artiodactyla","Physeteridae","Physeter","Physeter macrocephalus",42,"XY","Arnason and Benirscke 1973"
"Artiodactyla","Suidae","Babyrousa","Babyrousa babyrussa",38,"XY","Bosma et al. 1996"
"Artiodactyla","Suidae","Babyrousa","Babyrousa babyrussa celebensis",38,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Suidae","Phacochoerus","Phacochoerus africanus",34,"XY","Musilova et al. 2010"
"Artiodactyla","Suidae","Phacochoerus","Phacochoerus africanus sundervallii",34,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Suidae","Potamochoerus","Potamochoerus larvatus",34,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Suidae","Potamochoerus","Potamochoerus porcus",34,"XY","Musilova et al. 2010"
"Artiodactyla","Suidae","Sus","Sus barbatus",38,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Suidae","Sus","Sus cebifrons",34,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Suidae","Sus","Sus scrofa",36,"XY","Blackmon 2019"
"Artiodactyla","Suidae","Sus","Sus scrofa domestica",38,"XY","Biltueva et al. 2004"
"Artiodactyla","Suidae","Sus","Sus scrofa scrofa",36,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Tayassuidae","Catagonus","Catagonus wagneri",20,"XY","Benirschke and Kumamoto 1989"
"Artiodactyla","Tayassuidae","Tayassu","Tayassu albirostris",26,"XY","Blackmon 2019"
"Artiodactyla","Tayassuidae","Tayassu","Tayassu pecari",26,"XY","Benirschke and Kumamoto 1989"
"Artiodactyla","Tayassuidae","Tayassu","Tayassu tajacu",30,"XY","Benirschke and Kumamoto 1989"
"Artiodactyla","Tragulidae","Tragulus","Tragulus javanicus",32,"XY","Gallagher et al. 1996"
"Artiodactyla","Ziphiidae","Mesoplodon","Mesoplodon carlhubbsi",42,"XY","Arnason et al. 1977"
"Artiodactyla","Ziphiidae","Mesoplodon","Mesoplodon europaeus",42,"XY","Arnason et al. 1977"
"Carnivora","Canidae","Alopex","Alopex lagopus",50,"XY","Nash et al. 2001"
"Carnivora","Canidae","Atelocynus","Atelocynus microtis",74,"XY","Wurster-Hill and Centerwall 1982"
"Carnivora","Canidae","Canis","Canis familiaris",78,"XY","Graphodatsky et al. 2000a"
"Carnivora","Canidae","Canis","Canis latrans",78,"XY","Wurster-Hill and Centerwall 1982"
"Carnivora","Canidae","Canis","Canis lupus",78,"XY","Wurster-Hill and Centerwall 1982"
"Carnivora","Canidae","Cerdocyon","Cerdocyon thous",74,"XY","Nash et al. 2001"
"Carnivora","Canidae","Chrysocyon","Chrysocyon brachyurus",76,"XY","Wayne et al. 1987a"
"Carnivora","Canidae","Cuon","Cuon alpinus",78,"XY","Graphodatsky et al. 2008"
"Carnivora","Canidae","Fennecus","Fennecus zerda",64,"XY","Graphodatsky et al. 2008"
"Carnivora","Canidae","Lycaon","Lycaon pictus",38,"XY","Blackmon 2019"
"Carnivora","Canidae","Nyctereutes","Nyctereutes procyonoides",42,"XY","Blackmon 2019"
"Carnivora","Canidae","Nyctereutes","Nyctereutes procyonoides procyonoides",54,"XY","Graphodatsky et al. (Unpublished)"
"Carnivora","Canidae","Nyctereutes","Nyctereutes procyonoides viverrinus",38,"XY","Nash et al. 2001"
"Carnivora","Canidae","Otocyon","Otocyon megalotis",72,"XY","Wayne et al. 1987a"
"Carnivora","Canidae","Speothos","Speothos venaticus",74,"XY","Wayne et al. 1987a"
"Carnivora","Canidae","Urocyon","Urocyon cinereoargenteus",66,"XY","Wayne et al. 1987a"
"Carnivora","Canidae","Vulpes","Vulpes corsac",36,"XY","Graphodatsky et al. 2008"
"Carnivora","Canidae","Vulpes","Vulpes fulva",34,"XY","Blackmon 2019"
"Carnivora","Canidae","Vulpes","Vulpes lagopus",49,"XY","Graphodatsky et al. 2000b, 2008a; Nash et al. 2001"
"Carnivora","Canidae","Vulpes","Vulpes macrotis",50,"XY","Wayne et al. 1987a"
"Carnivora","Canidae","Vulpes","Vulpes vulpes",36,"XY","Blackmon 2019"
"Carnivora","Canidae","Vulpes","Vulpes vulpes",34,"XY","Rubtsova 1998"
"Carnivora","Eupleridae","Cryptoprocta","Cryptoprocta ferox",42,"XY","CRES San Diego (Unpublished)"
"Carnivora","Eupleridae","Fossa","Fossa fossa",42,"XY","Nash et al. 2008"
"Carnivora","Eupleridae","Fossa","Fossa fossana",42,"XY","Nash (Unpublished)"
"Carnivora","Eupleridae","Galidia","Galidia elegans",44,"XY","Wurster-Hill and Gray 1975"
"Carnivora","Felidae","Acinonyx","Acinonyx jubatus",38,"XY","Nash (Unpublished)"
"Carnivora","Felidae","Caracal","Caracal caracal",38,"XY","Wurster-Hill and Gray 1973"
"Carnivora","Felidae","Felis","Felis bengalensis",38,"XY","Blackmon 2019"
"Carnivora","Felidae","Felis","Felis catus",38,"XY","Cho et al. 1997"
"Carnivora","Felidae","Felis","Felis chaus",38,"XY","Wurster-Hill and Gray 1973"
